Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,Bosnia and Herzegovina,BIH,2.20132235518321,0.422594516413342,0.401041406626647,0.386861609683402,0.426781645379308,0.419585915737698,0.402748833477314,0.365630746756471,0.373829805611902,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,Botswana,BWA,0.20436554105033,0.18237883361517,0.188694734068205,0.197203364195354,0.17547015518294,0.186540431305472,0.196705207911828,0.170475910723067,0.149554497671978,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,Brazil,BRA,0.105031641240063,0.128702011762763,0.133293990751286,0.131097135237254,0.12485083318307,0.125593131470825,0.117476674621984,0.116188036606424,0.114543029010001,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,Brunei Darussalam,BRN,0.134030402600706,0.15543206593846,0.203927459885725,0.184993033727136,0.206617851764322,0.21332213773162,0.220516465803116,0.198725050111129,0.266941404219093,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,Bulgaria,BGR,0.559763171382124,0.419568859441697,0.251410938275865,0.25761641479536,0.233382041804289,0.239698574900309,0.217522231549424,0.200198477083783,0.181733181352824,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,Burkina Faso,BFA,0.0587080444619683,0.0617378880846926,0.0791349896711606,0.0965977031474107,0.0958660736829761,0.104432483934957,0.109029118519264,0.112942375213586,0.10699454227105,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,Burundi,BDI,0.0240514106416362,0.0410775252062784,0.0345465640415438,0.0361456442172668,0.0438190069812344,0.0521929634689396,0.064549718472741,0.0674530659841126,0.0678096364164246,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,Cabo Verde,CPV,0.264812589172569,0.149570471412429,0.129343409513741,0.129047461120958,0.134394708619626,0.138441381184059,0.135775948391828,0.131758566684688,0.167289416199148,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,Cambodia,KHM,0.080131120568678,0.101671897321347,0.126107981114993,0.143103197120958,0.175622912118017,0.187782215075576,0.187086158459675,0.23325542837839,0.248152545968918,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,Cameroon,CMR,0.0566717234725568,0.091408835339091,0.0812689381796616,0.0795050689039433,0.0803009329408314,0.078429968822777,0.0810459424122486,0.0767784880900038,0.0795529325198087,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,Canada,CAN,0.380025191875832,0.351549593916875,0.288874571884247,0.28546957069891,0.281588148697106,0.278843353490503,0.276843429245567,0.265297461094493,0.255123774114042,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,Central African Republic,CAF,0.0347905887525858,0.0509242233111902,0.0281534294973163,0.0381571370608888,0.0407726757113,0.0420305101194163,0.0417159159305942,0.0415742561563249,0.0414134682795068,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,Chad,TCD,0.0525086259626239,0.0546923072661537,0.0470056003856416,0.0455993498644902,0.048356614699741,0.0504679798973781,0.0515899323809691,0.0508079970755462,0.0511385425645616,..,..,..
